USGS_ID,Lat,Lon,region,D_5,D_10,D_20,D_50,D_100,S_5,S_10,S_20,S_50,S_100
9485450,32.220632,-110.829531,9-Southwest,,,,,,,,,,
9333500,38.094153,-110.407364,9-Southwest,,,,,,,,,,
9466500,33.185613,-110.22009,9-Southwest,70.0,110.0,152.0,211.0,256.0,1717.0,3017.0,4455.0,6490.0,8101.0
9489500,33.47672,-109.763977,9-Southwest,96.0,164.0,246.0,374.0,486.0,1537.0,2392.0,3325.0,4658.0,5730.0
9444500,33.049508,-109.295905,9-Southwest,79.0,123.0,169.0,232.0,281.0,1199.0,1883.0,2602.0,3586.0,4347.0
9180000,38.797208,-109.195114,9-Southwest,70.0,111.0,156.0,223.0,278.0,1398.0,2432.0,3674.0,5606.0,7269.0
9371010,37.001139,-109.029583,9-Southwest,39.0,59.0,81.0,110.0,132.0,671.0,1051.0,1469.0,2073.0,2565.0
9163500,39.13276,-109.027055,11-California and interior west,242.0,463.0,751.0,1233.0,1673.0,2976.0,5387.0,8093.0,11948.0,15018.0
9368000,36.776667,-108.683056,8-Rocky Mountains,53.0,87.0,124.0,175.0,216.0,714.0,1144.0,1624.0,2327.0,2902.0
10257600,34.011123,-116.628069,11-California and interior west,145.0,243.0,348.0,495.0,610.0,5621.0,10834.0,16999.0,26032.0,33370.0
10258000,33.805019,-116.559182,11-California and interior west,413.0,738.0,1135.0,1765.0,2315.0,6353.0,10664.0,15327.0,21833.0,26934.0
10258500,33.745022,-116.535571,11-California and interior west,161.0,244.0,330.0,447.0,537.0,1959.0,3216.0,4562.0,6424.0,7876.0
10259100,33.749466,-116.42279,11-California and interior west,,,,,,,,,,
10259200,33.631136,-116.392234,9-Southwest,164.0,247.0,333.0,449.0,539.0,2069.0,3559.0,5191.0,7482.0,9282.0
9419700,36.087475,-114.985828,11-California and interior west,,,,,,,,,,
9419753,36.100375,-114.943319,11-California and interior west,,,,,,,,,,
9418500,37.558378,-114.563056,11-California and interior west,155.0,273.0,417.0,645.0,844.0,1150.0,1942.0,2868.0,4270.0,5459.0
9419000,36.643028,-114.539708,11-California and interior west,44.0,69.0,97.0,135.0,165.0,671.0,1016.0,1373.0,1856.0,2226.0
9419507,36.535278,-114.428333,11-California and interior west,,,,,,,,,,
9413900,37.469975,-114.046646,11-California and interior west,,,,,,,,,,
9426620,34.262515,-114.027721,9-Southwest,,,,,,,,,,
9414900,36.901921,-113.933577,11-California and interior west,,,,,,,,,,
9415000,36.891644,-113.92441,11-California and interior west,38.0,65.0,99.0,154.0,203.0,672.0,1045.0,1435.0,1968.0,2383.0
9413700,36.921389,-113.831389,11-California and interior west,,,,,,,,,,
9410100,37.19,-113.768056,11-California and interior west,,,,,,,,,,
9413500,37.014424,-113.680516,11-California and interior west,,,,,,,,,,
9404343,35.384162,-113.657719,9-Southwest,,,,,,,,,,
9404222,35.7999,-113.65535,11-California and interior west,,,,,,,,,,
9409100,37.384701,-113.631905,11-California and interior west,,,,,,,,,,
9424450,34.462517,-113.624377,9-Southwest,83.0,127.0,173.0,235.0,283.0,2301.0,4078.0,6256.0,9710.0,12734.0
9413000,37.075259,-113.593013,11-California and interior west,,,,,,,,,,
9413200,37.07,-113.583889,11-California and interior west,40.0,62.0,84.0,115.0,139.0,643.0,1031.0,1466.0,2103.0,2625.0
9408400,37.383313,-113.483288,11-California and interior west,110.0,185.0,268.0,384.0,476.0,9288.0,22115.0,42188.0,81789.0,122680.0
9408195,37.001649,-113.468841,11-California and interior west,,,,,,,,,,
9424447,34.541684,-113.445205,9-Southwest,,,,,,,,,,
9408150,37.16276,-113.395229,11-California and interior west,36.0,57.0,79.0,109.0,132.0,727.0,1160.0,1622.0,2260.0,2758.0
9408000,37.267482,-113.370784,11-California and interior west,193.0,350.0,526.0,777.0,976.0,4197.0,8463.0,13492.0,20887.0,26845.0
9424900,34.305854,-113.347144,9-Southwest,,,,,,,,,,
9406000,37.204149,-113.180779,11-California and interior west,44.0,68.0,95.0,131.0,160.0,871.0,1413.0,2025.0,2928.0,3676.0
9404900,37.16415,-112.95855,11-California and interior west,,,,,,,,,,
9517490,33.31032,-112.881842,9-Southwest,,,,,,,,,,
9404110,36.219467,-112.6901,11-California and interior west,,,,,,,,,,
9516500,33.885032,-112.66212,9-Southwest,,,,,,,,,,
9502800,34.866687,-112.613231,9-Southwest,,,,,,,,,,
9404450,37.339427,-112.604377,11-California and interior west,30.0,51.0,76.0,118.0,155.0,691.0,1114.0,1592.0,2294.0,2873.0
9403600,37.100541,-112.547983,11-California and interior west,10.0,14.0,19.0,26.0,32.0,594.0,908.0,1247.0,1727.0,2111.0
9502960,34.551969,-112.462391,9-Southwest,,,,,,,,,,
9503000,34.56308,-112.444891,9-Southwest,,,,,,,,,,
9503300,34.613611,-112.417222,9-Southwest,,,,,,,,,,
9503700,34.89502,-112.342947,9-Southwest,92.0,160.0,241.0,369.0,480.0,2998.0,5510.0,8353.0,12421.0,15659.0
9512450,34.485278,-112.2375,9-Southwest,,,,,,,,,,
9512800,34.015589,-112.167938,9-Southwest,174.0,306.0,465.0,715.0,932.0,2509.0,4477.0,6878.0,10656.0,13943.0
9513860,33.729205,-112.119876,9-Southwest,172.0,255.0,340.0,454.0,542.0,1936.0,3469.0,5179.0,7612.0,9537.0
9513780,33.974202,-112.099046,9-Southwest,161.0,243.0,328.0,442.0,531.0,1353.0,2274.0,3270.0,4659.0,5747.0
9504000,34.852242,-112.065994,9-Southwest,98.0,145.0,194.0,260.0,310.0,2422.0,4088.0,5903.0,8447.0,10442.0
9512500,34.315307,-112.064046,9-Southwest,72.0,110.0,150.0,204.0,247.0,1988.0,3205.0,4574.0,6582.0,8231.0
9512280,33.88726,-111.954039,9-Southwest,137.0,218.0,303.0,421.0,512.0,3781.0,6693.0,9927.0,14518.0,18143.0
9504500,34.764464,-111.890989,9-Southwest,40.0,55.0,69.0,88.0,102.0,624.0,1029.0,1498.0,2202.0,2795.0
9506000,34.44836,-111.789871,9-Southwest,,,,,,,,,,
9505350,34.728631,-111.775708,9-Southwest,97.0,146.0,197.0,266.0,319.0,2516.0,4527.0,6772.0,9970.0,12500.0
9505800,34.538636,-111.694036,9-Southwest,45.0,61.0,77.0,97.0,113.0,690.0,1125.0,1623.0,2366.0,2986.0
9508300,34.160868,-111.692924,9-Southwest,90.0,147.0,212.0,309.0,390.0,2462.0,4423.0,6833.0,10648.0,13984.0
9505200,34.674744,-111.672094,9-Southwest,,,,,,,,,,
9511300,33.558656,-111.669304,9-Southwest,67.0,103.0,142.0,195.0,237.0,1313.0,2163.0,3136.0,4588.0,5801.0
9510000,33.808375,-111.663473,9-Southwest,63.0,102.0,146.0,214.0,271.0,760.0,1191.0,1666.0,2349.0,2907.0
9329050,38.627752,-111.647965,8-Rocky Mountains,,,,,,,,,,
9507980,34.276421,-111.638756,9-Southwest,73.0,116.0,161.0,223.0,271.0,2566.0,4386.0,6375.0,9168.0,11372.0
9337000,37.862487,-111.636011,11-California and interior west,314.0,635.0,1077.0,1854.0,2596.0,3638.0,6277.0,9169.0,13244.0,16447.0
