site,severity,duration,start,end
9379500,166.0,33,1989-07-19,1989-08-20
9379500,2659.0,231,1989-09-11,1990-05-03
9379500,4.0,5,1994-03-31,1994-04-04
9379500,4.0,5,1995-12-27,1995-12-31
9379500,5231.0,334,1996-01-15,1996-12-14
9379500,187.0,42,1999-03-19,1999-04-29
9379500,164.0,37,2000-02-22,2000-03-29
9379500,1450.0,161,2000-06-18,2000-12-02
9379500,4.0,6,2001-02-15,2001-02-21
9379500,11372.0,663,2001-10-24,2003-09-14
9379500,72.0,22,2003-10-28,2003-11-20
9379500,43.0,28,2003-12-16,2004-01-14
9379500,95.0,35,2004-01-22,2004-02-27
9379500,45.0,21,2004-06-27,2004-07-17
9379500,356.0,66,2004-08-01,2004-10-10
9379500,299.0,49,2006-03-01,2006-04-18
9379500,2125.0,161,2006-04-26,2006-10-06
9379500,18.0,8,2007-06-02,2007-06-10
9379500,195.0,59,2008-11-26,2009-01-26
9379500,26.0,9,2009-04-05,2009-04-13
9379500,51.0,17,2009-06-12,2009-06-28
9379500,2001.0,165,2009-08-30,2010-02-14
9379500,13.0,5,2011-04-19,2011-04-23
9379500,34.0,13,2011-05-04,2011-05-16
9379500,120.0,24,2011-05-22,2011-06-18
9379500,357.0,68,2011-08-18,2011-10-27
9379500,4.0,5,2012-04-13,2012-04-17
9379500,48.0,12,2012-04-23,2012-05-07
9379500,8657.0,488,2012-05-11,2013-09-12
9379500,58.0,9,2014-05-03,2014-05-11
9379500,46.0,9,2014-05-17,2014-05-25
9379500,77.0,39,2014-07-16,2014-08-25
9379500,11.0,9,2014-09-15,2014-09-25
9379500,233.0,28,2016-04-27,2016-05-25
9379500,9.0,12,2017-10-12,2017-10-23
9379500,11353.0,507,2017-11-17,2019-04-19
9379500,23.0,12,2019-05-25,2019-06-05
9379500,11697.0,664,2019-10-04,2021-08-01
9379500,2780.0,287,2021-09-19,2022-07-15
9304500,235.0,45,1990-03-10,1990-04-23
9304500,103.0,37,1990-05-23,1990-06-28
9304500,4717.0,372,1994-04-15,1995-05-21
9304500,201.0,46,1999-12-09,2000-01-23
9304500,2676.0,307,2000-05-31,2001-04-03
9304500,225.0,61,2001-06-08,2001-08-07
9304500,1087.0,177,2001-10-01,2002-04-18
9304500,6953.0,334,2002-05-11,2003-04-12
9304500,157.0,48,2003-08-08,2003-09-24
9304500,4.0,6,2003-10-16,2003-10-21
9304500,2161.0,154,2003-10-27,2004-03-28
9304500,2453.0,173,2004-05-20,2004-11-09
9304500,1237.0,130,2006-05-30,2006-10-06
9304500,3444.0,164,2007-05-17,2007-10-27
9304500,463.0,49,2008-03-29,2008-05-16
9304500,357.0,38,2009-04-05,2009-05-12
9304500,3013.0,225,2009-11-11,2010-06-23
9304500,713.0,75,2010-09-25,2010-12-08
9304500,9340.0,474,2012-05-13,2013-09-30
9304500,396.0,38,2016-04-19,2016-05-26
9304500,3320.0,220,2016-10-21,2017-06-07
9304500,10144.0,681,2017-06-29,2019-05-30
9304500,909.0,101,2020-01-01,2020-04-13
9304500,128.0,25,2020-04-21,2020-05-15
9304500,7677.0,375,2020-09-19,2021-10-15
9304500,6.0,8,2022-04-24,2022-05-01
9304500,31.0,13,2022-05-18,2022-05-31
9513780,6.0,8,1984-06-06,1984-06-13
9513780,1241.0,79,1984-07-05,1984-09-25
9513780,582.0,42,1985-09-04,1985-10-17
9513780,1462.0,95,1987-08-01,1987-11-07
9513780,3686.0,267,1989-07-14,1990-04-08
9513780,7.0,10,1990-05-06,1990-05-15
9513780,50.0,15,1990-05-31,1990-06-14
9513780,1205.0,74,1990-07-02,1990-09-16
9513780,247.0,21,1990-12-02,1990-12-22
9513780,1614.0,112,1991-08-19,1991-12-10
9513780,189.0,12,1993-08-15,1993-08-26
9513780,94.0,8,1993-09-01,1993-09-08
9513780,2085.0,143,1994-08-02,1994-12-24
9513780,174.0,11,1995-08-19,1995-08-29
9513780,12353.0,739,1996-01-25,1998-02-08
9513780,1249.0,87,1998-09-13,1998-12-10
9513780,568.0,69,1999-01-25,1999-04-03
9513780,109.0,15,1999-04-09,1999-04-23
9513780,6.0,8,1999-06-07,1999-06-14
